noaa_ar_num,TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH
11986.0,876.565,18440440000000.0,4619203000000.0,1.052678e+22,56.287,5.9509e+22,1687.9646,19608.0,2671.367,14319.893555,-0.003356,9.974,26.952,0.53468043,-0.01143682,134.16,35.19,131.336,64.438
11986.0,932.313,19774430000000.0,3175089000000.0,1.047704e+22,32.486999999999995,6.783458e+22,1689.0998539999996,19603.0,3060.429,14175.152344,-0.0019465999999999997,12.636,28.869,0.36902627,-0.00635911,132.173,37.047,132.704,65.25399999999999
11982.0,4638.412,95588460000000.0,5799047000000.0,5.684759e+22,179.445,7.256752e+23,4391.236328,50979.0,5926.958000000001,26481.103516,-0.00194642,30.778,37.24,-0.12205642,-0.00534026,110.94,44.893,112.046,59.98
11986.0,923.446,21518150000000.0,3026690000000.0,1.132536e+22,32.817,6.924502e+22,1688.161377,19582.0,2473.697,13922.891602000003,0.00155716,16.088,30.051,0.27840737,0.00659524,122.896,38.901,120.872,59.648
11991.0,850.3689999999998,14134830000000.0,3491077000000.0,1.572208e+22,113.313,2.583117e+23,306.141846,3552.0,9644.735,2300.459473,-0.00561902,30.128,37.152,-0.00500009,-0.01029012,72.182,43.488,84.05,44.487
11991.0,939.052,15437830000000.0,2824311000000.0,1.635872e+22,91.485,2.720111e+23,344.071106,3993.0,9771.522,2588.503906,-0.00436515,31.058000000000003,37.31800000000001,0.09815001,-0.00783654,79.81,43.09,89.931,45.907
11991.0,990.581,16923360000000.0,2915428000000.0,1.721632e+22,115.668,2.886615e+23,353.052582,4097.0,9620.606,2652.07373,-0.00511962,31.474,37.616,0.10133381,-0.00951946,78.929,43.244,89.075,45.68
11990.0,2474.512,44714150000000.0,18664630000000.0,3.63331e+22,728.012,5.37174e+23,1950.384766,22631.0,7397.986999999999,20507.695312,-0.013315500000000001,12.630999999999998,27.812,0.23990196,-0.03448616,99.235,32.566,102.832,42.456
11991.0,1211.065,20411370000000.0,4797779000000.0,1.899136e+22,130.827,3.272478e+23,473.915192,5494.0,9765.906,3145.489258,-0.00518557,31.694000000000006,37.246,0.24513103,-0.009897399999999999,81.535,42.98,93.739,47.44
11982.0,4245.458,78706410000000.0,12941110000000.0,7.869589e+22,347.66,5.529782e+23,2239.089111,25952.0,3749.295,15972.491211000002,-0.00313052,11.662,26.161,-0.17161442,-0.00803629,92.42,31.917,94.656,41.678
11991.0,1048.708,18859300000000.0,1415239000000.0,1.680086e+22,19.763,3.245213e+23,578.056091,6702.0,10887.07,4047.168945,-0.0008805,37.639,40.403,0.12219231,-0.00165367,81.192,46.231,91.74,47.56
11987.0,2810.555,57928150000000.0,12544590000000.0,3.343854e+22,358.65,3.413917e+23,4468.664551,51753.0,4875.183,48331.222656,-0.00680189,19.263,31.115,0.46052894,-0.01889001,123.088,40.192,124.792,62.726000000000006
11982.0,667.322,13504210000000.0,1916356000000.0,1.99868e+22,9.637,1.228548e+23,123.372993,1429.0,3030.864,1674.039429,-0.00031575,11.628,22.571,-0.12155593,-0.00099139,66.111,29.428,75.715,28.667
11990.0,1536.948,31552700000000.0,19077890000000.0,1.623907e+22,486.752,3.639227e+23,3287.493896,38073.0,10670.5,34760.757812,-0.01895451,34.422,38.058,0.55211562,-0.04441883,113.728,48.912,119.528,66.749
11987.0,2624.521,54969600000000.0,8037769000000.0,3.36236e+22,274.563,3.159613e+23,4391.4067380000015,50827.0,4501.356,48168.015625,-0.00519474,17.391,29.927,0.29419976,-0.01485008,125.865,38.548,126.357,62.231
11986.0,407.224,8991812000000.0,1069138000000.0,1.179462e+22,1.993,2.306853e+22,112.402534,1301.0,935.7485,2163.20874,0.00010738,0.916,16.582,-0.01579152,0.00041017,78.243,21.511,79.78699999999998,26.956
11991.0,1680.628,34759200000000.0,14374700000000.0,1.739169e+22,351.01,4.261035e+23,1591.153809,18420.0,11058.47,10774.84082,-0.01209837,51.11,47.49800000000001,0.18502514,-0.02742084,101.57,57.413,103.688,70.31
11991.0,1752.971,36174290000000.0,16915450000000.0,1.767197e+22,385.788,4.166547e+23,1637.083374,18951.0,10842.4,11221.938477,-0.01333246,48.455,46.179,0.09459968,-0.02994831,105.787,56.345,108.987,72.357
11991.0,1682.902,33222420000000.0,23347130000000.0,1.612842e+22,552.518,3.35103e+23,1660.632324,19204.0,9457.582,11861.708984,-0.02070909,42.38399999999999,42.913,0.35309452,-0.04816722,113.116,53.725,114.309,73.461
11991.0,1697.524,32380300000000.0,22249820000000.0,1.61971e+22,529.837,3.358111e+23,1645.0720210000004,19029.0,9724.315,11920.180664,-0.020376,41.103,42.127,0.25925586,-0.04561880000000001,115.056,53.29600000000001,117.766,74.031
11996.0,894.628,18525330000000.0,4037279000000.0,9.583304e+21,107.449,8.631534e+22,791.101807,9142.0,4350.939,6248.164062,-0.00719302,22.118,33.021,-0.08172747,-0.02090485,130.736,40.176,134.362,65.306
12002.0,350.945,6082358000000.0,1151314000000.0,5.551593e+21,35.061,5.158797e+22,41.545959,480.0,5210.604,430.779663,0.004703,14.031,26.364,-0.07789566,0.01094169,89.309,31.345,113.839,43.25
11991.0,845.76,18762130000000.0,890987500000.0,1.700565e+22,2.804,8.737926e+22,750.133911,8667.0,2429.042,8270.773438,-0.0001035,6.697,25.087,0.0635238,-0.00035645,105.442,29.476,105.911,40.109
12002.0,514.368,8158585000000.0,4736815000000.0,7.418176e+21,133.063,5.070216e+22,115.959557,1338.0,4066.254,940.156433,-0.01417218,9.33,23.092,-0.41543909999999995,-0.03114366,91.857,29.385,105.653,44.528
12002.0,514.908,8057385000000.0,2550404000000.0,8.169716e+21,65.396,4.84282e+22,145.44288600000004,1679.0,3550.712,1357.495728,-0.00636766,6.845,23.139,-0.18447638,-0.01365422,90.126,29.438,97.191,46.198
12002.0,518.885,8403778000000.0,4412349000000.0,8.780048e+21,116.575,4.791653e+22,149.46868899999996,1726.0,3169.686,1486.892944,-0.01024116,6.369,23.414,-0.10207543,-0.02270409,89.634,29.919,93.414,45.747
12002.0,523.4730000000002,8686908000000.0,2316198000000.0,8.402875e+21,62.149,5.173593e+22,166.261185,1920.0,3513.075,1565.539551,-0.00560453,7.404,23.865,-0.31773725,-0.01274483,91.933,31.098000000000006,96.43,48.051
11996.0,987.737,21509810000000.0,2881121000000.0,1.18057e+22,98.204,8.321413e+22,1155.946655,13346.0,3237.697,8294.129883,-0.0050746,20.41,32.203,-0.20441189,-0.01577905,127.418,40.753,128.918,62.178
11996.0,951.44,22012410000000.0,2221002000000.0,1.278179e+22,45.13800000000001,9.516224e+22,1177.801636,13592.0,3144.458,8259.515625,-0.00198087,23.078000000000007,33.827,-0.0648687,-0.00693585,112.718,42.414,114.808,55.61
12002.0,649.0980000000002,10463400000000.0,8493673000000.0,9.684234e+21,198.232,7.348443e+22,227.24523900000003,2622.0,4486.202,1963.651978,-0.01607199,11.189,27.341,-0.11606306,-0.03320286,100.005,34.213,109.547,53.718
12002.0,761.868,12777680000000.0,7670924000000.0,1.009575e+22,141.08700000000005,9.419281e+22,234.30099500000003,2703.0,5267.823,2026.274536,-0.01047958,12.663,28.239,0.02478181,-0.02327186,99.332,35.243,111.512,55.838
12002.0,852.956,13257870000000.0,10566880000000.0,1.011305e+22,246.201,8.85408e+22,265.074707,3057.0,5299.268,2207.395264,-0.01956926,14.021,29.047,0.0577575,-0.03757683,110.258,35.82,121.05,60.057
12002.0,1013.925,17540950000000.0,12931570000000.0,1.172442e+22,296.815,1.025567e+23,353.431427,4076.0,4780.778,2595.674561,-0.01837523,16.622,30.681,0.06842532,-0.04146463,106.813,37.536,117.92,58.232
12002.0,1074.53,18067300000000.0,15183830000000.0,1.210721e+22,349.425,1.071853e+23,395.445618,4561.0,4981.738,2838.86792,-0.02156809,15.203,29.489,0.10829806,-0.04730513,109.815,36.327,121.104,57.765
12002.0,1051.233,17318790000000.0,15700510000000.0,1.20561e+22,339.066,1.061244e+23,407.880829,4705.0,5079.473,2991.530518,-0.02155265,14.092,28.72,-0.03949795,-0.04583687,110.465,35.251,121.495,57.07100000000001
11996.0,1416.033,30293740000000.0,3615495000000.0,1.905464e+22,83.464,1.998061e+23,1201.8647460000002,13872.0,5065.191,8083.129883,-0.00281024,22.604,33.672,-0.23482808,-0.00754504,112.09,40.737,116.654,57.11600000000001
11996.0,1444.195,30100310000000.0,6858574000000.0,1.913795e+22,42.607,1.988842e+23,1177.206421,13587.0,5147.005,8071.405762,-0.00146442,22.457,33.422,-0.45474428,-0.00376012,114.879,41.005,118.905,58.558
12002.0,1418.233,26270160000000.0,12699870000000.0,1.538045e+22,244.734,2.041995e+23,682.864197,7875.0,7141.975,4563.787598,-0.01136764,26.741,35.16,-0.13487469,-0.02467782,109.381,41.544,120.193,63.199
11996.0,1765.5179999999998,35535540000000.0,9052169000000.0,2.369956e+22,166.963,2.168947e+23,1192.28125,13743.0,4798.837,7654.26709,-0.00490591,18.3,31.379,-0.45839092,-0.01192077,112.911,38.519,117.924,57.957
11996.0,1887.193,35115240000000.0,14654140000000.0,2.508683e+22,304.697,2.311113e+23,1212.655396,13978.0,5059.713,7472.083984000001,-0.00885927,16.468,30.509,-0.35822189,-0.02005458,111.278,37.073,116.398,56.66
11996.0,1889.669,35515120000000.0,15652880000000.0,2.547374e+22,341.06699999999995,2.404417e+23,1210.540894,13955.0,5100.991,7420.168945,-0.00960943,16.398,30.637,-0.34232357,-0.02234425,108.947,37.173,114.281,56.358
11996.0,2011.848,36758100000000.0,16405950000000.0,2.803195e+22,336.1430000000001,2.955857e+23,1195.251587,13787.0,5813.408,7182.693359000001,-0.00878001,17.252,31.168000000000006,-0.38370909999999997,-0.01949856,104.391,37.336,111.383,54.709
12002.0,2240.853,41269690000000.0,20439790000000.0,2.046231e+22,321.543,4.423463e+23,1344.630493,15494.0,10835.78,8028.643555,-0.01046041,43.118,43.286,0.12248855,-0.02256067,106.605,50.857,115.961,69.95100000000001
11996.0,2391.228,39722560000000.0,9836976000000.0,3.580437e+22,289.939,4.271635e+23,1023.441284,11791.0,6820.224,5642.8583979999985,-0.00614799,20.322,31.248,-0.30060208,-0.01276093,92.229,36.942,99.929,48.065
11996.0,2326.437,39253760000000.0,6905784000000.0,3.85729e+22,276.135,4.220784e+23,784.059387,9040.0,6064.68,4604.267578,-0.00526924,19.941,30.253,-0.19835046,-0.01164545,80.52,36.779,88.194,43.483
11996.0,2210.187,37478290000000.0,6794994000000.0,3.801079e+22,287.791,4.045038e+23,697.382263,8038.0,5637.038000000001,4232.445801,-0.00532671,19.301,29.496,-0.05745135,-0.01275026,71.242,37.179,79.17,40.289
11996.0,2091.349,34817690000000.0,9522934000000.0,3.798352e+22,329.271,4.27843e+23,600.366821,6913.0,6177.333000000001,3436.759033,-0.00631392,21.131,30.535,-0.1483739,-0.01428744,70.462,37.361,78.976,38.624
11996.0,2080.75,32531210000000.0,8749860000000.0,3.53917e+22,248.675,4.142936e+23,564.861633,6505.0,6586.805,2920.087402,-0.00525096,22.17,30.92,-0.12443659,-0.01132519,71.792,37.67,83.954,38.707
12003.0,1165.444,23897400000000.0,6294716000000.0,1.635453e+22,148.131,2.480424e+23,898.738098,10348.0,7471.803000000001,5462.691406,-0.00592617,36.152,40.541,-0.05681934,-0.01360639,94.6,47.932,98.74,56.588
12003.0,1084.1,20888860000000.0,6544300000000.0,1.834529e+22,117.644,2.434512e+23,714.371277,8228.0,7032.745,4809.76416,-0.00451365,26.632,35.808,-0.16347574,-0.00993244,88.838,42.065,92.532,48.985
11998.0,781.698,18882660000000.0,2808825000000.0,1.917042e+22,20.985,5.765071e+22,783.141663,9006.0,1278.69,10987.722656,-0.00061815,1.785,22.013,-0.02260545,-0.00282837,92.147,26.191,92.242,31.356
12003.0,2069.274,34696600000000.0,4302433000000.0,3.474419e+22,83.05,4.578759e+23,651.5632320000002,7491.0,7206.376,4215.721191,-0.00173599,25.218000000000004,33.803000000000004,-0.06685603,-0.00370172,70.112,40.348,79.222,40.574
12005.0,1571.535,33319750000000.0,5402135000000.0,2.839645e+22,97.765,4.848852e+23,1093.96228,12586.0,8782.226,9842.878906,-0.00235165,21.975,32.875,0.24987507,-0.00529776,88.01899999999998,37.594,89.646,40.038
12002.0,1452.001,30603560000000.0,1580270000000.0,2.232403e+22,64.682,2.505803e+23,1679.769653,19312.0,5600.752,10887.451172,-0.00192002,24.872,33.859,-0.05029139,-0.00487757,112.603,41.683,113.172,57.403
12002.0,1725.794,35899440000000.0,5049171000000.0,2.432851e+22,137.446,2.680196e+23,1551.543823,17839.0,5606.603,10494.294922,-0.00381858,24.367,33.419000000000004,0.13516442,-0.00951994,112.123,40.629,115.104,57.925
12010.0,1537.31,30727560000000.0,15332210000000.0,2.858866e+22,289.076,1.251511e+23,1098.346313,12608.0,2149.7670000000007,15181.101562,0.006595999999999999,4.323,22.602,0.09097603,0.02105029,95.163,28.238000000000003,96.698,39.926
12010.0,1619.3529999999996,33031880000000.0,17708160000000.0,2.417792e+22,336.655,1.119944e+23,1296.837891,14886.0,2298.079,17742.007812,0.00917466,5.18,23.909,0.1673176,0.02871804,104.86,29.452,106.389,45.793
12010.0,1767.311,34675750000000.0,17233280000000.0,2.438652e+22,369.885,1.264096e+23,1644.841064,18893.0,2619.429,21486.623047,0.010179299999999999,6.806,24.555,0.11370666,0.03002285,113.251,30.574,116.408,48.917
12010.0,1878.118,37105110000000.0,18563630000000.0,2.527967e+22,386.189,1.358513e+23,1668.507935,19164.0,2706.771,21842.355469,0.010218799999999998,7.3,25.138,0.17781897,0.03020458,112.601,31.213,115.177,49.523
12010.0,1830.416,35883150000000.0,20535570000000.0,2.616076e+22,428.9,1.67491e+23,1798.6809079999996,20652.0,3123.215,22159.605469,0.01062213,9.291,26.141,0.1663937,0.03240145,107.893,32.602,111.408,48.652
12010.0,1830.416,35883150000000.0,20535570000000.0,2.616076e+22,428.9,1.67491e+23,1798.6809079999996,20652.0,3123.215,22159.605469,0.01062213,9.291,26.141,0.1663937,0.03240145,107.893,32.602,111.408,48.652
12014.0,2.847,78010000000.0,161037900000.0,8.007558e+19,1.4409999999999998,7.716546e+20,22.56492,259.0,3301.397,220.508926,0.00818731,37.5,43.486,1.75539732,0.05014607,56.14100000000001,43.96,67.354,22.74
12014.0,217.83,2701202000000.0,636470500000.0,2.948471e+21,6.879,5.334718e+22,41.141159,472.0,9947.929,365.737915,-0.00170411,42.992,44.357,-0.15468228,-0.00307619,60.57899999999999,52.497,68.71,33.229
12010.0,2123.92,41056530000000.0,24668400000000.0,2.463345e+22,493.899,2.223313e+23,2039.831543,23398.0,4565.629,23287.800781,0.01347023,14.604,28.968000000000004,0.09585387,0.03645138,115.842,35.726,121.573,56.585
12014.0,283.165,4038450000000.0,1264170000000.0,4.426853e+21,14.1,7.137961e+22,50.825787,583.0,8678.814,459.524414,-0.00227674,38.866,41.298,-0.20694448,-0.00467858,72.518,46.488,91.437,32.538000000000004
12010.0,1934.881,42957990000000.0,15187770000000.0,2.533101e+22,262.813,2.253758e+23,2332.39917,26773.0,4070.74,25844.216797,0.00630428,17.738,30.88,0.02771474,0.01989663,108.098,37.963,110.009,53.849
12014.0,1034.28,16679110000000.0,4137625000000.0,1.770199e+22,80.138,2.219431e+23,182.330582,2093.0,6976.134,1529.381592,-0.00334522,21.519,30.628,-0.29823109999999997,-0.00723712,77.185,37.753,100.975,37.604
12014.0,1502.739,25162040000000.0,3743626000000.0,2.3086e+22,7.646,3.054823e+23,269.32659900000004,3089.0,6773.985,2109.536133,-0.00022517,21.48,30.451,-0.20481493,-0.00057655,79.256,36.493,103.147,37.903
12014.0,1512.904,26262750000000.0,5954104000000.0,2.523312e+22,62.923,2.729178e+23,273.06399500000003,3131.0,5628.846,2303.470703,-0.00172354,17.516,27.879,-0.18964505,-0.00434,74.976,34.952,89.81,37.537
12013.0,745.528,15915120000000.0,3929698000000.0,1.433462e+22,122.943,7.75206e+22,642.622925,7370.0,2510.839,7853.166015999999,-0.00528833,7.862999999999999,24.692,-0.01084312,-0.01869679,95.575,29.131,96.426,34.22
12011.0,1340.279,21143320000000.0,4455647000000.0,1.801205e+22,228.147,4.397438e+23,524.568787,6015.0,14493.63,3503.7531740000004,-0.00998628,43.32899999999999,42.883,-0.17315368,-0.01506224,78.79899999999998,49.034,89.323,49.252
12014.0,1408.622,32277430000000.0,6759424000000.0,2.306245e+22,56.106,2.556476e+23,1295.514771,14844.0,5208.0329999999985,11733.03125,0.00151794,19.488,31.013,-0.35024112,0.00452807,98.802,36.743,99.854,43.87
12014.0,1478.208,36623690000000.0,6082069000000.0,2.499405e+22,49.967,2.678267e+23,1297.841675,14872.0,4703.674,11888.446289,0.00116542,19.59,31.764,-0.27170494,0.00387629,97.656,37.175,97.937,43.081
12014.0,1494.695,32719250000000.0,5187866000000.0,1.847499e+22,59.555,3.129135e+23,2061.538086,23590.0,8043.001999999998,16360.694336000002,-0.00203293,33.35,38.136,0.01253534,-0.0050424,111.809,47.01600000000001,112.581,63.19
12014.0,1418.7520000000004,31251830000000.0,4463179000000.0,1.861372e+22,58.708,3.124577e+23,2073.988281,23729.0,7815.979,16486.759766,-0.00195048,34.068000000000005,38.269,-0.03828718,-0.00495979,109.989,47.216,110.332,61.897
12010.0,1956.56,40306080000000.0,15085350000000.0,3.108094e+22,237.402,2.794303e+23,1900.487915,21733.0,4331.331,17373.552734,0.00488702,19.225,29.901,-0.06894866,0.01393625,103.039,37.861,104.031,50.445
12010.0,1805.703,37114910000000.0,8712076000000.0,2.97131e+22,149.338,2.240059e+23,1599.557983,18294.0,3618.284,15048.820312,0.00320359,15.537,28.126,0.13224448,0.00946609,100.796,35.549,102.306,47.164
12010.0,1515.719,30264910000000.0,3845247000000.0,3.006369e+22,39.369,1.697534e+23,847.919434,9681.0,2828.173,7484.393066,0.00087112,10.227,24.982,-0.11442404,0.00255133,92.187,31.005,94.579,39.744
12017.0,1021.007,20434360000000.0,4958987000000.0,1.086859e+22,62.651,1.705391e+23,1494.246948,17051.0,7361.061,13386.353516,0.00359157,30.765,37.378,0.15368652,0.00911517,124.264,48.819,126.179,76.44
12017.0,1115.605,21690940000000.0,5660532000000.0,1.122413e+22,77.729,1.718256e+23,1527.160767,17426.0,7295.318,13417.123047,0.00438278,29.49,36.428,0.28773224,0.01079794,127.503,47.915,130.886,74.542
12017.0,1111.588,21996880000000.0,12385310000000.0,1.101938e+22,219.864,1.815054e+23,1548.9216310000004,17678.0,7659.653,13734.829102000003,0.01232214,29.614,36.711,0.31421179,0.03215185,124.019,48.154,125.732,75.721
12010.0,1208.099,22387540000000.0,3836701000000.0,2.759303e+22,74.428,1.688288e+23,346.584229,3958.0,3220.4970000000008,2736.334229,0.00188559,9.343,22.846,-0.17625761,0.005210899999999999,73.994,29.953000000000007,83.154,33.87
12017.0,1117.01,22083860000000.0,12803940000000.0,1.14501e+22,256.715,1.816663e+23,1502.200439,17154.0,7568.041999999998,13736.630859,0.01420275,28.553,36.104,0.14142299,0.03616611,125.715,46.628,128.605,74.117
12017.0,1127.757,23129010000000.0,11331470000000.0,1.156088e+22,199.041,1.703764e+23,1459.251221,16660.0,6941.036999999998,13686.129883,0.01076888,28.513,35.86400000000001,0.05785975,0.02812075,123.917,44.908,129.761,67.007
12017.0,1085.679,22737720000000.0,12675800000000.0,1.148019e+22,211.907,1.660409e+23,1425.648682,16274.0,6610.269,13638.098633,0.01120371,28.598000000000006,35.964,0.24625453,0.03089627,120.501,44.752,125.712,65.33
12017.0,1107.481,22169520000000.0,16119170000000.0,1.143286e+22,271.572,1.728858e+23,1365.650024,15584.0,7015.183000000001,13503.407227000003,0.01463448,26.518,34.786,0.26585227,0.040253,121.221,43.762,126.632,65.99
12017.0,1107.481,22169520000000.0,16119170000000.0,1.143286e+22,271.572,1.728858e+23,1365.650024,15584.0,7015.183000000001,13503.407227000003,0.01463448,26.518,34.786,0.26585227,0.040253,121.221,43.762,126.632,65.99
12017.0,1185.627,23173740000000.0,15531970000000.0,1.176485e+22,290.827,1.736226e+23,1399.119263,15961.0,7149.1,13362.066406,0.01590348,25.34,34.165,0.1265969,0.04130061,124.508,42.441,131.683,66.277
12017.0,1181.351,23120010000000.0,14657860000000.0,1.176007e+22,263.165,1.830883e+23,1385.88501,15808.0,7679.113,13297.587891,0.01465855,25.834,34.841,-0.05863384,0.03692649,126.087,43.56,133.39,69.438
12017.0,1172.652,22560400000000.0,14575540000000.0,1.213987e+22,304.589,1.869249e+23,1416.375366,16153.0,7456.272,13144.328125,0.01613546,25.168000000000006,34.681,0.05996455,0.0426993,121.294,43.082,126.403,68.036
12017.0,1117.734,23573870000000.0,14057120000000.0,1.364989e+22,327.0440000000001,1.683222e+23,1100.406738,12552.0,5531.791,11630.541992,0.01427453,22.922,33.539,0.12201825,0.04304528,108.78,40.88800000000001,113.395,56.161
12014.0,1405.5179999999998,26253570000000.0,3908492000000.0,3.396694e+22,4.349,3.026889e+23,602.4082639999998,6871.0,4772.61,4746.6723630000015,-9.107e-05,13.594,26.337,-0.15603355,-0.0002262,75.35600000000002,31.799,78.78,33.512
12014.0,1402.215,26838440000000.0,3805511000000.0,3.453099e+22,22.111,3.02117e+23,506.666534,5779.0,4563.585,4162.57373,0.00044355,13.228,26.229,-0.14554183,0.0011554,72.44,31.5,77.575,31.85
12026.0,1444.039,22125980000000.0,7349999000000.0,2.666644e+22,230.287,2.828206e+23,317.643768,3620.0,6223.6309999999985,1747.216309,0.00673038,18.414,30.765,-0.14616121,0.01404839,72.285,35.73699999999999,92.959,38.968
12026.0,2226.838,40281280000000.0,6406478000000.0,3.411826e+22,230.61,3.372789e+23,1095.606079,12483.0,5184.896,7546.104492,0.00470845,18.499,29.103,-0.0345022,0.01152315,90.99,36.642,96.168,46.617
12026.0,2226.838,40281280000000.0,6406478000000.0,3.411826e+22,230.61,3.372789e+23,1095.606079,12483.0,5184.896,7546.104492,0.00470845,18.499,29.103,-0.0345022,0.01152315,90.99,36.642,96.168,46.617
12026.0,2220.381,40596750000000.0,4431155000000.0,3.4296e+22,183.141,3.307545e+23,1245.307739,14178.0,5127.096,8824.311523,0.00377028,18.326,29.418000000000006,-0.10851719,0.00910335,96.2,36.298,101.201,48.761
12027.0,1365.165,24770130000000.0,831332400000.0,2.544077e+22,158.458,3.231028e+23,687.4119870000002,7825.0,6422.368,7237.635742,-0.00418315,17.816,28.785,0.03276407,-0.01042135,81.485,34.719,84.432,35.99800000000001
12026.0,2035.32,41782900000000.0,3735971000000.0,2.861596e+22,120.159,3.677381e+23,1913.724976,21769.0,6425.236,13242.495117,0.00278817,29.116,35.846,0.1343869,0.00708936,104.244,43.074,108.804,55.706
12026.0,2112.043,45877510000000.0,10587130000000.0,2.764636e+22,178.05,3.801768e+23,2017.634766,22944.0,6423.609,14084.838867,0.00399537,30.412,37.029,0.14601955,0.01118236,102.381,44.117,105.939,56.63800000000001
12026.0,2204.9970000000008,50215780000000.0,10076240000000.0,2.718323e+22,188.361,4.330456e+23,2252.807861,25637.0,7022.09,15197.511719,0.00405643,35.985,40.335,0.10256127,0.01178594,100.72,47.707,104.63,57.878
12027.0,1931.992,38238160000000.0,6030321000000.0,2.739933e+22,195.277,4.092296e+23,1876.018433,21331.0,7463.66,20882.984375,-0.00472985,25.103,33.992,0.27759459999999997,-0.01116012,104.386,41.012,106.647,51.158
12026.0,1057.927,23757910000000.0,12183370000000.0,1.277618e+22,52.487,1.199852e+23,2406.985596,27322.0,4073.368,19729.935547,0.00236641,20.464,31.565,1.04218674,0.00790276,122.422,41.928,123.276,61.93600000000001
12036.0,416.307,9825158000000.0,2257199000000.0,5.529014e+21,41.41,2.768184e+22,481.878815,5450.0,2204.321,6317.563965,0.00437919,8.607999999999999,27.064,0.39743128,0.01714273,122.689,33.096,123.271,52.228
12036.0,381.675,8373989000000.0,2132962000000.0,4.918326e+21,32.759,2.671828e+22,497.341156,5626.0,2566.465,6560.111816,0.00418005,9.108,27.017,0.51449049,0.01434508,125.913,33.659,127.579,55.333
12036.0,426.798,10389460000000.0,2488190000000.0,5.26299e+21,27.633000000000006,3.042771e+22,520.03656,5884.0,2487.695,6740.059081999999,0.00300029,12.758,29.339,0.51094067,0.01158648,122.083,37.152,123.583,55.378
